flow_id,parameter,consistent_value,segment,segment_length
C,local_storage.token,eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJzdGF0dXMiOiJzdWNjZXNzIiwiZGF0YSI6eyJpZCI6MjQsInVzZXJuYW1lIjoiIiwiZW1haWwiOiJ0dHRAZ21haWwuY29tIiwicGFzc3dvcmQiOiI2Y2VlNDYxOGZjNDk2MGQxODRlYjdlZmJkMGFhMjdiNSIsInJvbGUiOiJjdXN0b21lciIsImRlbHV4ZVRva2VuIjoiIiwibGFzdExvZ2luSXAiOiJ1bmRlZmluZWQiLCJwcm9maWxlSW1hZ2UiOiIvYXNzZXRzL3B1YmxpYy9pbWFnZXMvdXBsb2Fkcy9kZWZhdWx0LnN2ZyIsInRvdHBTZWNyZXQiOiIiLCJpc0FjdGl2ZSI6dHJ1ZSwiY3JlYXRlZEF0IjoiMjAyNS0wMy0wNSAxMDowMDo1NS43NDEgKzAwOjAwIiwidXBkYXRlZEF0IjoiMjAyNS0wMy0wNSAxMDoyMjo0Ni42ODQgKzAwOjAwIiwiZGVsZXRlZEF0IjpudWxsfSwiaWF0IjoxNzQxMTc1OTQxfQ.yO7pwLnyuyu1UfbPd5z7w1IXU7zj9B3vDEzYTUtvCZR3ydiERggE2Mn9uZ-lGTvV3Kpwt4qk2PlrOua0lX0-TQDPtG0YtcRHpaHHgo8ad09gKUUMS3j-TBpht1qvGbBfcRrt8Z813qSFtFWNTNGjaFmiuQ5U9lnFumN9CFIF0Mc,3 to 9,7
C,cookies[3].secure,False,3 to 9,7
C,cookies[1].value,dismiss,1 to 9,9
C,cookies[1].path,/,1 to 9,9
C,cookies[0].path,/,1 to 9,9
C,cookies[1].httpOnly,False,1 to 9,9
C,cookies[1].sameSite,Lax,1 to 9,9
C,cookies[0].expires,1772711935.0,1 to 9,9
C,cookies[0].sameSite,Lax,1 to 9,9
C,cookies[2].name,cookieconsent_status,3 to 9,7
C,cookies[1].expires,1772711937.0,1 to 9,9
C,cookies[3].name,token,3 to 9,7
C,cookies[2].value,dismiss,3 to 9,7
C,cookies[3].sameSite,Lax,3 to 9,7
C,cookies[2].secure,False,3 to 9,7
C,cookies[0].name,language,1 to 9,9
C,cookies[2].path,/,3 to 9,7
C,cookies[1].name,welcomebanner_status,1 to 9,9
C,cookies[1].domain,slaying.ddns.net,1 to 9,9
C,cookies[0].httpOnly,False,1 to 9,9
C,cookies[3].expires,1741204739.0,3 to 9,7
C,session_data.walletTotal,100,8 to 9,2
C,cookies[3].httpOnly,False,3 to 9,7
C,cookies[2].domain,slaying.ddns.net,3 to 9,7
D,cookies[0].value,en,1 to 28,28
D,session_data.bid,9,3 to 28,26
D,cookies[2].expires,1741205627.0,3 to 28,26
D,cookies[2].sameSite,Lax,3 to 28,26
D,cookies[3].value,dismiss,4 to 28,25
D,cookies[1].secure,False,1 to 28,28
D,session_data.deliveryMethodId,1,19 to 27,9
D,cookies[0].secure,False,1 to 28,28
D,cookies[3].path,/,4 to 28,25
D,cookies[2].httpOnly,False,3 to 28,26
D,cookies[3].domain,slaying.ddns.net,4 to 28,25
D,cookies[0].domain,slaying.ddns.net,1 to 28,28
D,local_storage.token,eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJzdGF0dXMiOiJzdWNjZXNzIiwiZGF0YSI6eyJpZCI6MjUsInVzZXJuYW1lIjoiIiwiZW1haWwiOiJqQGVtYWlsLmNvbSIsInBhc3N3b3JkIjoiMjVkNTVhZDI4M2FhNDAwYWY0NjRjNzZkNzEzYzA3YWQiLCJyb2xlIjoiY3VzdG9tZXIiLCJkZWx1eGVUb2tlbiI6IiIsImxhc3RMb2dpbklwIjoiMC4wLjAuMCIsInByb2ZpbGVJbWFnZSI6Ii9hc3NldHMvcHVibGljL2ltYWdlcy91cGxvYWRzL2RlZmF1bHQuc3ZnIiwidG90cFNlY3JldCI6IiIsImlzQWN0aXZlIjp0cnVlLCJjcmVhdGVkQXQiOiIyMDI1LTAzLTA1IDEyOjA4OjUxLjA1OSArMDA6MDAiLCJ1cGRhdGVkQXQiOiIyMDI1LTAzLTA1IDEyOjA4OjUxLjA1OSArMDA6MDAiLCJkZWxldGVkQXQiOm51bGx9LCJpYXQiOjE3NDExNzY4Mjh9.a4C2SGiH6BGUeQRQ-A4Zl0dTi4kBxn-J4xNGl67B4_XnpeqZSz7arbIxYBIJHsEmnBN8gunJFBeTVMtXo7gvtR0eZNVS49RqILbkJC_wUhXg851Dl4WHOmM4G_NOx6EmwPFoTIQx_mlz0bldTkOrazRroaZV0JLmpFTfrqixzwQ,3 to 28,26
D,cookies[3].secure,False,4 to 28,25
D,cookies[1].value,dismiss,1 to 28,28
D,cookies[1].path,/,1 to 28,28
D,cookies[0].path,/,1 to 28,28
D,cookies[1].httpOnly,False,1 to 28,28
D,cookies[1].sameSite,Lax,1 to 28,28
D,cookies[0].expires,1772712823.0,1 to 28,28
D,session_data.itemTotal,1.99,5 to 26,22
D,cookies[0].sameSite,Lax,1 to 28,28
D,session_data.addressId,16,17 to 27,11
D,cookies[2].name,token,3 to 28,26
D,cookies[1].expires,1772712824.0,1 to 28,28
D,cookies[3].name,cookieconsent_status,4 to 28,25
D,session_data.paymentId,15,27 to 27,1
D,cookies[2].value,eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJzdGF0dXMiOiJzdWNjZXNzIiwiZGF0YSI6eyJpZCI6MjUsInVzZXJuYW1lIjoiIiwiZW1haWwiOiJqQGVtYWlsLmNvbSIsInBhc3N3b3JkIjoiMjVkNTVhZDI4M2FhNDAwYWY0NjRjNzZkNzEzYzA3YWQiLCJyb2xlIjoiY3VzdG9tZXIiLCJkZWx1eGVUb2tlbiI6IiIsImxhc3RMb2dpbklwIjoiMC4wLjAuMCIsInByb2ZpbGVJbWFnZSI6Ii9hc3NldHMvcHVibGljL2ltYWdlcy91cGxvYWRzL2RlZmF1bHQuc3ZnIiwidG90cFNlY3JldCI6IiIsImlzQWN0aXZlIjp0cnVlLCJjcmVhdGVkQXQiOiIyMDI1LTAzLTA1IDEyOjA4OjUxLjA1OSArMDA6MDAiLCJ1cGRhdGVkQXQiOiIyMDI1LTAzLTA1IDEyOjA4OjUxLjA1OSArMDA6MDAiLCJkZWxldGVkQXQiOm51bGx9LCJpYXQiOjE3NDExNzY4Mjh9.a4C2SGiH6BGUeQRQ-A4Zl0dTi4kBxn-J4xNGl67B4_XnpeqZSz7arbIxYBIJHsEmnBN8gunJFBeTVMtXo7gvtR0eZNVS49RqILbkJC_wUhXg851Dl4WHOmM4G_NOx6EmwPFoTIQx_mlz0bldTkOrazRroaZV0JLmpFTfrqixzwQ,3 to 28,26
D,cookies[3].sameSite,Lax,4 to 28,25
D,cookies[2].secure,False,3 to 28,26
D,cookies[0].name,language,1 to 28,28
D,cookies[2].path,/,3 to 28,26
D,cookies[1].name,welcomebanner_status,1 to 28,28
D,cookies[1].domain,slaying.ddns.net,1 to 28,28
D,cookies[0].httpOnly,False,1 to 28,28
D,cookies[3].expires,1772712831.0,4 to 28,25
D,cookies[3].httpOnly,False,4 to 28,25
D,cookies[2].domain,slaying.ddns.net,3 to 28,26
E,cookies[0].value,en,1 to 8,8
E,session_data.bid,9,3 to 7,5
E,cookies[2].expires,1741205995.0,3 to 7,5
E,cookies[2].expires,1772713196.0,8 to 8,1
E,cookies[2].sameSite,Lax,3 to 8,6
E,cookies[3].value,dismiss,3 to 7,5
E,cookies[1].secure,False,3 to 8,6
E,cookies[0].secure,False,1 to 8,8
E,cookies[3].path,/,3 to 7,5
E,cookies[2].httpOnly,False,3 to 8,6
E,cookies[3].domain,slaying.ddns.net,3 to 7,5
E,cookies[0].domain,slaying.ddns.net,1 to 8,8
E,local_storage.token,eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJzdGF0dXMiOiJzdWNjZXNzIiwiZGF0YSI6eyJpZCI6MjUsInVzZXJuYW1lIjoiIiwiZW1haWwiOiJqQGVtYWlsLmNvbSIsInBhc3N3b3JkIjoiMjVkNTVhZDI4M2FhNDAwYWY0NjRjNzZkNzEzYzA3YWQiLCJyb2xlIjoiY3VzdG9tZXIiLCJkZWx1eGVUb2tlbiI6IiIsImxhc3RMb2dpbklwIjoiMC4wLjAuMCIsInByb2ZpbGVJbWFnZSI6Ii9hc3NldHMvcHVibGljL2ltYWdlcy91cGxvYWRzL2RlZmF1bHQuc3ZnIiwidG90cFNlY3JldCI6IiIsImlzQWN0aXZlIjp0cnVlLCJjcmVhdGVkQXQiOiIyMDI1LTAzLTA1IDEyOjA4OjUxLjA1OSArMDA6MDAiLCJ1cGRhdGVkQXQiOiIyMDI1LTAzLTA1IDEyOjA4OjUxLjA1OSArMDA6MDAiLCJkZWxldGVkQXQiOm51bGx9LCJpYXQiOjE3NDExNzcxOTd9.Ndg6ivJVinsqPdatrKZ07WU4Kiy9IdrLT8_x_VRkxtHLzqhpoNxNYlL19NFlDxuyAnfI1lzALxaP6yqBqZrDoSvAlG2ruOAUkJIexcvEgJRF5LK0f2r1792iHdnFq82DoQsTjkV0E83vxnMTkxZ_NkG-CzGMA-w88TNUkRdiYco,3 to 7,5
E,cookies[3].secure,False,3 to 7,5
E,cookies[1].value,dismiss,3 to 8,6
E,cookies[1].path,/,3 to 8,6
E,cookies[0].path,/,1 to 8,8
E,cookies[1].httpOnly,False,3 to 8,6
E,cookies[1].sameSite,Lax,3 to 8,6
E,cookies[0].expires,1772713184.0,1 to 8,8
E,cookies[0].sameSite,Lax,1 to 8,8
E,cookies[2].name,token,3 to 7,5
E,cookies[2].name,cookieconsent_status,8 to 8,1
E,cookies[1].expires,1772713195.0,3 to 8,6
E,cookies[3].name,cookieconsent_status,3 to 7,5
E,cookies[2].value,eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJzdGF0dXMiOiJzdWNjZXNzIiwiZGF0YSI6eyJpZCI6MjUsInVzZXJuYW1lIjoiIiwiZW1haWwiOiJqQGVtYWlsLmNvbSIsInBhc3N3b3JkIjoiMjVkNTVhZDI4M2FhNDAwYWY0NjRjNzZkNzEzYzA3YWQiLCJyb2xlIjoiY3VzdG9tZXIiLCJkZWx1eGVUb2tlbiI6IiIsImxhc3RMb2dpbklwIjoiMC4wLjAuMCIsInByb2ZpbGVJbWFnZSI6Ii9hc3NldHMvcHVibGljL2ltYWdlcy91cGxvYWRzL2RlZmF1bHQuc3ZnIiwidG90cFNlY3JldCI6IiIsImlzQWN0aXZlIjp0cnVlLCJjcmVhdGVkQXQiOiIyMDI1LTAzLTA1IDEyOjA4OjUxLjA1OSArMDA6MDAiLCJ1cGRhdGVkQXQiOiIyMDI1LTAzLTA1IDEyOjA4OjUxLjA1OSArMDA6MDAiLCJkZWxldGVkQXQiOm51bGx9LCJpYXQiOjE3NDExNzcxOTd9.Ndg6ivJVinsqPdatrKZ07WU4Kiy9IdrLT8_x_VRkxtHLzqhpoNxNYlL19NFlDxuyAnfI1lzALxaP6yqBqZrDoSvAlG2ruOAUkJIexcvEgJRF5LK0f2r1792iHdnFq82DoQsTjkV0E83vxnMTkxZ_NkG-CzGMA-w88TNUkRdiYco,3 to 7,5
E,cookies[2].value,dismiss,8 to 8,1
E,cookies[3].sameSite,Lax,3 to 7,5
E,cookies[2].secure,False,3 to 8,6
E,cookies[0].name,language,1 to 8,8
E,cookies[2].path,/,3 to 8,6
E,cookies[1].name,welcomebanner_status,3 to 8,6
E,cookies[1].domain,slaying.ddns.net,3 to 8,6
E,cookies[0].httpOnly,False,1 to 8,8
E,cookies[3].expires,1772713196.0,3 to 7,5
E,cookies[3].httpOnly,False,3 to 7,5
E,cookies[2].domain,slaying.ddns.net,3 to 8,6
F,cookies[0].value,en,1 to 9,9
F,session_data.bid,9,3 to 9,7
F,cookies[2].expires,1741206072.0,3 to 9,7
F,cookies[2].sameSite,Lax,3 to 9,7
F,cookies[3].value,dismiss,3 to 9,7
F,cookies[1].secure,False,3 to 9,7
F,cookies[0].secure,False,1 to 9,9
F,cookies[3].path,/,3 to 9,7
F,cookies[2].httpOnly,False,3 to 9,7
F,cookies[3].domain,slaying.ddns.net,3 to 9,7
F,cookies[0].domain,slaying.ddns.net,1 to 9,9
F,local_storage.token,eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJzdGF0dXMiOiJzdWNjZXNzIiwiZGF0YSI6eyJpZCI6MjUsInVzZXJuYW1lIjoiIiwiZW1haWwiOiJqQGVtYWlsLmNvbSIsInBhc3N3b3JkIjoiMjVkNTVhZDI4M2FhNDAwYWY0NjRjNzZkNzEzYzA3YWQiLCJyb2xlIjoiY3VzdG9tZXIiLCJkZWx1eGVUb2tlbiI6IiIsImxhc3RMb2dpbklwIjoidW5kZWZpbmVkIiwicHJvZmlsZUltYWdlIjoiL2Fzc2V0cy9wdWJsaWMvaW1hZ2VzL3VwbG9hZHMvZGVmYXVsdC5zdmciLCJ0b3RwU2VjcmV0IjoiIiwiaXNBY3RpdmUiOnRydWUsImNyZWF0ZWRBdCI6IjIwMjUtMDMtMDUgMTI6MDg6NTEuMDU5ICswMDowMCIsInVwZGF0ZWRBdCI6IjIwMjUtMDMtMDUgMTI6MjA6MDguMjY5ICswMDowMCIsImRlbGV0ZWRBdCI6bnVsbH0sImlhdCI6MTc0MTE3NzI3M30.B1Nl5ek_EHJDZ42lx4hgG4tn-0d5HLuWDWFI8vmrZ-r-0YHoOlKTqd5e3xA1CbgiGcn0t2kbgSH9vqaw22VxGkWQQ2nUzKKdkxYJafL5fr3FzYPWZNFTl8CVQQVGzpgorjPKWC43Ia6nX6wrODV1cSZrQQ8oh1EjD-3MsRGiaI4,3 to 9,7
F,cookies[3].secure,False,3 to 9,7
F,cookies[1].value,dismiss,3 to 9,7
F,cookies[1].path,/,3 to 9,7
F,cookies[0].path,/,1 to 9,9
F,cookies[1].httpOnly,False,3 to 9,7
F,cookies[1].sameSite,Lax,3 to 9,7
F,cookies[0].expires,1772713268.0,1 to 9,9
F,cookies[0].sameSite,Lax,1 to 9,9
F,cookies[2].name,token,3 to 9,7
F,cookies[1].expires,1772713271.0,3 to 9,7
F,cookies[3].name,cookieconsent_status,3 to 9,7
F,cookies[2].value,eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiJ9.eyJzdGF0dXMiOiJzdWNjZXNzIiwiZGF0YSI6eyJpZCI6MjUsInVzZXJuYW1lIjoiIiwiZW1haWwiOiJqQGVtYWlsLmNvbSIsInBhc3N3b3JkIjoiMjVkNTVhZDI4M2FhNDAwYWY0NjRjNzZkNzEzYzA3YWQiLCJyb2xlIjoiY3VzdG9tZXIiLCJkZWx1eGVUb2tlbiI6IiIsImxhc3RMb2dpbklwIjoidW5kZWZpbmVkIiwicHJvZmlsZUltYWdlIjoiL2Fzc2V0cy9wdWJsaWMvaW1hZ2VzL3VwbG9hZHMvZGVmYXVsdC5zdmciLCJ0b3RwU2VjcmV0IjoiIiwiaXNBY3RpdmUiOnRydWUsImNyZWF0ZWRBdCI6IjIwMjUtMDMtMDUgMTI6MDg6NTEuMDU5ICswMDowMCIsInVwZGF0ZWRBdCI6IjIwMjUtMDMtMDUgMTI6MjA6MDguMjY5ICswMDowMCIsImRlbGV0ZWRBdCI6bnVsbH0sImlhdCI6MTc0MTE3NzI3M30.B1Nl5ek_EHJDZ42lx4hgG4tn-0d5HLuWDWFI8vmrZ-r-0YHoOlKTqd5e3xA1CbgiGcn0t2kbgSH9vqaw22VxGkWQQ2nUzKKdkxYJafL5fr3FzYPWZNFTl8CVQQVGzpgorjPKWC43Ia6nX6wrODV1cSZrQQ8oh1EjD-3MsRGiaI4,3 to 9,7
F,cookies[3].sameSite,Lax,3 to 9,7
F,cookies[2].secure,False,3 to 9,7
F,cookies[0].name,language,1 to 9,9
F,cookies[2].path,/,3 to 9,7
F,cookies[1].name,welcomebanner_status,3 to 9,7
F,cookies[1].domain,slaying.ddns.net,3 to 9,7
F,cookies[0].httpOnly,False,1 to 9,9
F,cookies[3].expires,1772713272.0,3 to 9,7
F,session_data.walletTotal,300,8 to 9,2
F,cookies[3].httpOnly,False,3 to 9,7
F,cookies[2].domain,slaying.ddns.net,3 to 9,7
G,cookies[0].value,en,1 to 28,28
G,session_data.bid,7,3 to 28,26
G,cookies[2].expires,1772713448.0,3 to 28,26
G,cookies[2].sameSite,Lax,3 to 28,26
